wariant,25\%,30\%,50\%,75\%,100\%
RF-clus-div,0.53,0.514,0.565,0.596,0.659
RF-clus-rand,0.53,0.557,0.566,0.626,0.659
RF-clus-unc,0.53,0.642,0.705,0.672,0.659
RF-rand-div,0.503,0.511,0.554,0.582,0.659
RF-rand-rand,0.503,0.506,0.584,0.584,0.659
RF-rand-unc,0.503,0.598,0.705,0.702,0.659
SVM-clus-div,0.602,0.682,0.709,0.815,0.823
SVM-clus-rand,0.602,0.69,0.725,0.807,0.823
SVM-clus-unc,0.602,0.813,0.825,0.843,0.823
SVM-rand-div,0.651,0.709,0.796,0.813,0.823
SVM-rand-rand,0.651,0.732,0.764,0.801,0.823
SVM-rand-unc,0.651,0.796,0.846,0.841,0.823
